date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,new_cases_7d_avg_per_100k,new_deaths_7d_avg_per_100k,population_for_sir,incidence_for_sir,I_estimated,cumulative_infections_estimated,R_estimated,S_estimated
2020-10-28,France,67813000,0.0,1008331.0,0.0,25561.0,,,,,49.54,1.34,3036.0,20184.0,37332.71428571428,253.42857142857142,0.8888888888888888,0.0,0.0,1486.9287599722766,37.6933626295843,,4.477017680975624,29.764204503561263,1.4869287599722767,0.037693362629584296,,,,55.05244464293614,0.3737167968215112,67813000.0,37332.71428571428,366948.28571428574,896332.857142857,529384.5714285714,66916667.14285714
2020-10-29,France,67813000,0.0,1008331.0,0.0,25561.0,,,,,49.54,1.33,3147.0,21160.0,37332.71428571428,253.42857142857142,0.8888888888888888,0.0,0.0,1486.9287599722766,37.6933626295843,,4.640703110023152,31.20345656437556,1.4869287599722767,0.037693362629584296,,,,55.05244464293614,0.3737167968215112,67813000.0,37332.71428571428,387686.85714285716,933665.5714285714,545978.7142857142,66879334.42857143
2020-10-30,France,67813000,0.0,1008331.0,0.0,25561.0,,,,,78.7,1.33,3368.0,22153.0,37332.71428571428,253.42857142857142,0.8888888888888888,0.0,0.0,1486.9287599722766,37.6933626295843,,4.9665993246132745,32.667777564773715,1.4869287599722767,0.037693362629584296,,,,55.05244464293614,0.3737167968215112,67813000.0,37332.71428571428,408425.4285714285,970998.2857142857,562572.8571428572,66842001.71428571
2020-10-31,France,67813000,0.0,1008331.0,0.0,25561.0,,,,,78.7,1.33,3443.0,23013.0,37332.71428571428,253.42857142857142,0.8888888888888888,0.0,0.0,1486.9287599722766,37.6933626295843,,5.077197587483226,33.93597097901583,1.4869287599722767,0.037693362629584296,,,,55.05244464293614,0.3737167968215112,67813000.0,37332.71428571428,429164.0,1008331.0,579167.0,66804669.0
2020-11-01,France,67813000,332505.0,1340836.0,3154.0,28715.0,,,,,78.7,1.34,3569.0,24008.0,47500.71428571428,450.57142857142856,0.8888888888888888,490.3263386076416,4.651025614557681,1977.2550985799182,42.34438824414198,,5.263002669104744,35.40324126642384,1.9772550985799182,0.04234438824414198,,,,70.04661980109165,0.6644322306510972,67813000.0,47500.71428571428,452688.2857142857,1055831.7142857143,603143.4285714286,66757168.28571429
2020-11-02,France,67813000,0.0,1340836.0,0.0,28715.0,,,,,78.7,1.34,3721.0,25120.0,47500.71428571428,450.57142857142856,0.8888888888888888,0.0,0.0,1977.2550985799182,42.34438824414198,,5.487148481854511,37.04304484390898,1.9772550985799182,0.04234438824414198,,,,70.04661980109165,0.6644322306510972,67813000.0,47500.71428571428,476212.57142857136,1103332.4285714286,627119.8571428573,66709667.571428575
2020-11-03,France,67813000,0.0,1340836.0,0.0,28715.0,,,,,78.7,1.31,3869.0,26242.0,47500.71428571428,450.57142857142856,0.8888888888888888,0.0,0.0,1977.2550985799182,42.34438824414198,,5.705395720584549,38.69759485644345,1.9772550985799182,0.04234438824414198,,,,70.04661980109165,0.6644322306510972,67813000.0,47500.71428571428,499736.8571428571,1150833.142857143,651096.2857142859,66662166.857142866
2020-11-04,France,67813000,0.0,1340836.0,0.0,28715.0,,,,,78.7,1.26,4080.0,27511.0,47500.71428571428,450.57142857142856,0.8888888888888888,0.0,0.0,1977.2550985799182,42.34438824414198,,6.0165455001253445,40.56891746420303,1.9772550985799182,0.04234438824414198,,,,70.04661980109165,0.6644322306510972,67813000.0,47500.71428571428,523261.1428571428,1198333.8571428573,675072.7142857146,66614666.142857134
2020-11-05,France,67813000,0.0,1340836.0,0.0,28715.0,,,,,78.7,1.21,4221.0,28403.0,47500.71428571428,450.57142857142856,0.8888888888888888,0.0,0.0,1977.2550985799182,42.34438824414198,,6.224470234320853,41.88429947060298,1.9772550985799182,0.04234438824414198,,,,70.04661980109165,0.6644322306510972,67813000.0,47500.71428571428,546785.4285714285,1245834.5714285716,699049.1428571431,66567165.428571425
2020-11-06,France,67813000,0.0,1340836.0,0.0,28715.0,,,,,78.7,1.16,4321.0,28955.0,47500.71428571428,450.57142857142856,0.8888888888888888,0.0,0.0,1977.2550985799182,42.34438824414198,,6.371934584814121,42.69830268532582,1.9772550985799182,0.04234438824414198,,,,70.04661980109165,0.6644322306510972,67813000.0,47500.71428571428,570309.7142857143,1293335.285714286,723025.5714285716,66519664.71428571
2020-11-07,France,67813000,0.0,1340836.0,0.0,28715.0,,,,,78.7,1.11,4410.0,29396.0,47500.71428571428,450.57142857142856,0.8888888888888888,0.0,0.0,1977.2550985799182,42.34438824414198,,6.50317785675313,43.348620471001134,1.9772550985799182,0.04234438824414198,,,,70.04661980109165,0.6644322306510972,67813000.0,47500.71428571428,593833.9999999999,1340836.0000000002,747002.0000000003,66472164.0
2020-11-08,France,67813000,303116.0,1643952.0,4794.0,33509.0,,,,,78.7,1.05,4527.0,30217.0,43302.28571428572,684.8571428571429,0.8888888888888888,446.98804064117496,7.069440962647279,2424.2431392210933,49.413829206789266,,6.6757111468302535,44.559302788550866,2.424243139221093,0.049413829206789266,,,,63.855434377310715,1.00992013752104,67813000.0,43302.28571428572,599803.5714285714,1384138.285714286,784334.7142857146,66428861.71428572
2020-11-09,France,67813000,0.0,1643952.0,0.0,33509.0,,,,,78.7,0.98,4677.0,31098.0,43302.28571428572,684.8571428571429,0.8888888888888888,0.0,0.0,2424.2431392210933,49.413829206789266,,6.896907672570157,45.858463716396564,2.424243139221093,0.049413829206789266,,,,63.855434377310715,1.00992013752104,67813000.0,43302.28571428572,605773.1428571428,1427440.5714285716,821667.4285714288,66385559.428571425
2020-11-10,France,67813000,0.0,1643952.0,0.0,33509.0,,,,,78.7,0.93,4736.0,31477.0,43302.28571428572,684.8571428571429,0.8888888888888888,0.0,0.0,2424.2431392210933,49.413829206789266,,6.983911639361185,46.41735360476605,2.424243139221093,0.049413829206789266,,,,63.855434377310715,1.00992013752104,67813000.0,43302.28571428572,611742.7142857142,1470742.8571428573,859000.1428571431,66342257.14285714
2020-11-11,France,67813000,0.0,1643952.0,0.0,33509.0,,,,,78.7,0.89,4789.0,31918.0,43302.28571428572,684.8571428571429,0.8888888888888888,0.0,0.0,2424.2431392210933,49.413829206789266,,7.062067745122617,47.06767139044136,2.424243139221093,0.049413829206789266,,,,63.855434377310715,1.00992013752104,67813000.0,43302.28571428572,617712.2857142857,1514045.142857143,896332.8571428573,66298954.85714286
2020-11-12,France,67813000,0.0,1643952.0,0.0,33509.0,,,,,78.7,0.86,4884.0,32654.0,43302.28571428572,684.8571428571429,0.8888888888888888,0.0,0.0,2424.2431392210933,49.413829206789266,,7.202158878091222,48.15300901007181,2.424243139221093,0.049413829206789266,,,,63.855434377310715,1.00992013752104,67813000.0,43302.28571428572,623681.8571428572,1557347.4285714286,933665.5714285715,66255652.571428575
2020-11-13,France,67813000,0.0,1643952.0,0.0,33509.0,,,,,78.7,0.83,4887.0,32676.0,43302.28571428572,684.8571428571429,0.8888888888888888,0.0,0.0,2424.2431392210933,49.413829206789266,,7.2065828086060195,48.18545116718033,2.424243139221093,0.049413829206789266,,,,63.855434377310715,1.00992013752104,67813000.0,43302.28571428572,629651.4285714285,1600649.7142857143,970998.2857142858,66212350.28571428
