date,new_cases,new_deaths,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,population,total_cases,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,location
2020-01-05,0.0,0.0,,0.0,,,,0.0,0.0,0.5555555555555556,67813000,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,France
2020-01-12,0.0,0.0,,0.0,,,,0.0,0.0,0.5555555555555556,67813000,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,France
2020-01-19,0.0,0.0,,0.0,,,,0.0,0.0,0.5555555555555556,67813000,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,France
2020-01-26,3.0,0.0,,3.177142857142857,,,,0.061224489795918366,0.0,0.5555555555555556,67813000,3.0,0.0,,,,0.0006319900735425782,0.0,0.0006319900735425782,0.0,,,,6.319900735425782e-07,0.0,,,,France
2020-02-02,3.0,0.0,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,67813000,6.0,0.0,,,,0.0006319900735425782,0.0,0.0050559205883406256,0.0,,,,5.055920588340626e-06,0.0,,,,France
2020-02-09,6.0,0.0,,5.56,,,,0.4897959183673469,0.0,0.5555555555555556,67813000,12.0,0.0,,,,0.0012639801470851564,0.0,0.010111841176681251,0.0,,,,1.0111841176681251e-05,0.0,,,,France
2020-02-16,0.0,0.0,,5.56,,,,0.7346938775510203,0.0,0.5555555555555556,67813000,12.0,0.0,,,,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,,France
2020-02-23,4.0,0.0,,5.56,,,,0.08163265306122448,0.0,0.5555555555555556,67813000,16.0,0.0,,,,0.0008426534313901044,0.0,0.018538375490582293,0.0,,,,1.8538375490582296e-05,0.0,,,,France
2020-03-01,0.0,0.0,,18.65142857142857,3.04,,,0.4897959183673469,0.0,0.5714285714285714,67813000,16.0,0.0,,,,0.0,0.0,0.02359429607892292,0.0,,,,2.359429607892292e-05,0.0,,,,France
2020-03-08,0.0,0.0,,43.98,3.0385714285714287,,,0.0,0.0,0.6666666666666666,67813000,16.0,0.0,,,,0.0,0.0,0.02359429607892292,0.0,,,,2.359429607892292e-05,0.0,,,,France
