date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population
2020-01-05,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-06,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-07,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-08,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-09,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-10,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-11,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-12,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-13,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-14,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-15,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-16,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-17,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-18,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-19,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-20,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-21,France,67813000,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-22,France,67813000,0.0,0.0,0.0,0.0,,,,,2.78,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-23,France,67813000,0.0,0.0,0.0,0.0,,,,,2.78,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-24,France,67813000,0.0,0.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-25,France,67813000,0.0,0.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,
2020-01-26,France,67813000,3.0,3.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0044239305147980475,0.0,0.0044239305147980475,0.0,,,,4.423930514798048e-06,0.0,,,
2020-01-27,France,67813000,0.0,3.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.0044239305147980475,0.0,,,,4.423930514798048e-06,0.0,,,
2020-01-28,France,67813000,0.0,3.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.0044239305147980475,0.0,,,,4.423930514798048e-06,0.0,,,
2020-01-29,France,67813000,0.0,3.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.0044239305147980475,0.0,,,,4.423930514798048e-06,0.0,,,
2020-01-30,France,67813000,0.0,3.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.0044239305147980475,0.0,,,,4.423930514798048e-06,0.0,,,
2020-01-31,France,67813000,0.0,3.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.0044239305147980475,0.0,,,,4.423930514798048e-06,0.0,,,
2020-02-01,France,67813000,0.0,3.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.0044239305147980475,0.0,,,,4.423930514798048e-06,0.0,,,
2020-02-02,France,67813000,3.0,6.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0044239305147980475,0.0,0.008847861029596095,0.0,,,,8.847861029596096e-06,0.0,,,
2020-02-03,France,67813000,0.0,6.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.008847861029596095,0.0,,,,8.847861029596096e-06,0.0,,,
2020-02-04,France,67813000,0.0,6.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.008847861029596095,0.0,,,,8.847861029596096e-06,0.0,,,
2020-02-05,France,67813000,0.0,6.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.008847861029596095,0.0,,,,8.847861029596096e-06,0.0,,,
2020-02-06,France,67813000,0.0,6.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.008847861029596095,0.0,,,,8.847861029596096e-06,0.0,,,
2020-02-07,France,67813000,0.0,6.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.008847861029596095,0.0,,,,8.847861029596096e-06,0.0,,,
2020-02-08,France,67813000,0.0,6.0,0.0,0.0,,,,,5.56,,,,0.42857142857142855,0.0,0.5555555555555556,0.0,0.0,0.008847861029596095,0.0,,,,8.847861029596096e-06,0.0,,,
2020-02-09,France,67813000,6.0,12.0,0.0,0.0,,,,,5.56,,,,0.8571428571428571,0.0,0.5555555555555556,0.008847861029596095,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-10,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.8571428571428571,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-11,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.8571428571428571,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-12,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.8571428571428571,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-13,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.8571428571428571,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-14,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.8571428571428571,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-15,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.8571428571428571,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-16,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-17,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-18,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-19,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-20,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-21,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-22,France,67813000,0.0,12.0,0.0,0.0,,,,,5.56,,,,0.0,0.0,0.5555555555555556,0.0,0.0,0.01769572205919219,0.0,,,,1.769572205919219e-05,0.0,,,
2020-02-23,France,67813000,4.0,16.0,0.0,0.0,,,,,5.56,,,,0.5714285714285714,0.0,0.5555555555555556,0.00589857401973073,0.0,0.02359429607892292,0.0,,,,2.359429607892292e-05,0.0,,,
