date,location,population,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,reproduction_rate,icu_patients,hosp_patients,new_cases_7d_avg,new_deaths_7d_avg,row_coverage,new_cases_per_100k,new_deaths_per_100k,total_cases_per_100k,total_deaths_per_100k,new_vaccinations_per_100k,icu_patients_per_100k,hosp_patients_per_100k,total_cases_pct_population,total_deaths_pct_population,people_vaccinated_pct_population,people_fully_vaccinated_pct_population,total_boosters_pct_population,new_cases_7d_avg_per_100k,new_deaths_7d_avg_per_100k,population_for_sir,incidence_for_sir,I_estimated,cumulative_infections_estimated,R_estimated,S_estimated,gamma,dI_dt,denominator_SI_over_N,valid_beta_mask,beta_raw,beta_smoothed,beta_smoothed_nonnegative,R0_proxy_raw,R_eff_raw,R0_proxy_smoothed,R_eff_smoothed
2023-03-11,France,67813000,0.0,38451679.0,0.0,165413.0,54667386.0,53177833.0,47605564.0,1457.0,,,749.0,13131.0,3616.8571428571427,21.714285714285715,0.7777777777777778,0.0,0.0,56702.51869110643,243.92520608142982,2.1485555866869186,1.1045079851945792,19.363543863271055,56.70251869110643,0.24392520608142984,80.61490569654785,78.41834603984486,70.20123575125713,5.333574893983665,0.03202083039282397,67813000.0,3616.8571428571427,51592.0,38451679.00000007,38400087.00000007,29361320.999999933,0.07142857142857142,769.9285714285688,22338.036556884323,True,0.1994388099968627,0.17649852634664995,0.17649852634664995,2.7921433399560778,1.2089277407349968,2.4709793688530994,1.0698718303757848
2023-03-12,France,67813000,35851.0,38487530.0,125.0,165538.0,54667396.0,53177859.0,47605656.0,128.0,,,744.0,13125.0,5121.571428571428,17.857142857142858,0.7777777777777778,52.867444295341606,0.1843304381165853,56755.386135401764,244.1095365195464,0.18875436863138337,1.0971347676699157,19.354696002241457,56.755386135401764,0.2441095365195464,80.6149204429829,78.418384380576,70.20137141845959,7.552492042191657,0.02633291973094076,67813000.0,5121.571428571428,52960.142857142855,38456800.57142864,38403840.4285715,29356199.42857135,0.07142857142857142,1368.1428571428587,22926.408144159886,True,0.22467584855387676,0.18392539916532152,0.18392539916532152,3.145461879754275,1.3616682087068175,2.5749555883145017,1.1146964412468816
2023-03-13,France,67813000,0.0,38487530.0,0.0,165538.0,54667542.0,53178096.0,47607278.0,2005.0,,,758.0,13285.0,5121.571428571428,17.857142857142858,0.7777777777777778,0.0,0.0,56755.386135401764,244.1095365195464,2.9566602273900284,1.1177797767389734,19.590638963030685,56.755386135401764,0.2441095365195464,80.61513574093463,78.41873387108666,70.20376329022459,7.552492042191657,0.02633291973094076,67813000.0,5121.571428571428,54328.28571428572,38461922.14285722,38407593.85714293,29351077.857142784,0.07142857142857142,1368.1428571428587,23514.573073674637,True,0.22321199187552715,0.19114390281020646,0.19114390281020646,3.12496788625738,1.3525603605593512,2.6760146393428905,1.1582427267073725
2023-03-14,France,67813000,0.0,38487530.0,0.0,165538.0,54667740.0,53178380.0,47609826.0,3030.0,,,760.0,13281.0,5121.571428571428,17.857142857142858,0.7777777777777778,0.0,0.0,56755.386135401764,244.1095365195464,4.468169819946028,1.1207290637488387,19.584740389010957,56.755386135401764,0.2441095365195464,80.6154277203486,78.41915266984206,70.20752068187515,7.552492042191657,0.02633291973094076,67813000.0,5121.571428571428,55696.42857142857,38467043.71428579,38411347.285714366,29345956.2857142,0.07142857142857142,1368.142857142855,24102.531345428553,True,0.22182148036859672,0.19816448977450962,0.19816448977450962,3.105500725160354,1.343899967938441,2.7743028568431347,1.200574673886285
2023-03-15,France,67813000,0.0,38487530.0,0.0,165538.0,54667901.0,53178644.0,47611637.0,2235.0,,,763.0,13379.0,5121.571428571428,17.857142857142858,0.7777777777777778,0.0,0.0,56755.386135401764,244.1095365195464,3.2958282335245452,1.125152994263637,19.72925545249436,56.755386135401764,0.2441095365195464,80.6156651379529,78.41954197572737,70.2101912612626,7.552492042191657,0.02633291973094076,67813000.0,5121.571428571428,57064.57142857143,38472165.285714366,38415100.71428579,29340834.714285642,0.07142857142857142,1368.142857142855,24690.282959421664,True,0.22049903933530732,0.20499685927176392,0.20499685927176392,3.0869865506943026,1.335654847140582,2.869956029804695,1.241751662775087
2023-03-16,France,67813000,0.0,38487530.0,0.0,165538.0,54668075.0,53178914.0,47613916.0,2722.0,,,749.0,13325.0,5121.571428571428,17.857142857142858,0.7777777777777778,0.0,0.0,56755.386135401764,244.1095365195464,4.013979620426762,1.1045079851945792,19.649624703227992,56.755386135401764,0.2441095365195464,80.61592172592276,78.4199401294737,70.21355197381033,7.552492042191657,0.02633291973094076,67813000.0,5121.571428571428,58432.71428571428,38477286.85714294,38418854.142857224,29335713.14285706,0.07142857142857142,1368.142857142855,25277.827915653932,True,0.21923988808521547,0.21165002780497133,0.21165002780497133,3.069358433193017,1.3277958286576252,2.9631003892695986,1.281828897602245
2023-03-17,France,67813000,0.0,38487530.0,0.0,165538.0,54668357.0,53179276.0,47616766.0,3493.0,,,755.0,13279.0,5121.571428571428,17.857142857142858,0.7777777777777778,0.0,0.0,56755.386135401764,244.1095365195464,5.150929762729859,1.1133558462241753,19.58179110200109,56.755386135401764,0.2441095365195464,80.61633757539116,78.42047395042249,70.21775470779939,7.552492042191657,0.02633291973094076,67813000.0,5121.571428571428,59800.85714285714,38482408.428571515,38422607.57142866,29330591.571428493,0.07142857142857142,1368.1428571428587,25865.166214125387,True,0.21803968342493504,0.21813239166290302,0.21813239166290302,3.0525555679490908,1.3202964123782273,3.0538534832806423,1.3208577888765982
2023-03-18,France,67813000,0.0,38487530.0,0.0,165538.0,54668480.0,53179438.0,47617826.0,1345.0,,,752.0,13205.0,5121.571428571428,17.857142857142858,0.7777777777777778,0.0,0.0,56755.386135401764,244.1095365195464,1.9833955141344581,1.1089319157093773,19.472667482636073,56.755386135401764,0.2441095365195464,80.61651895654227,78.42071284267028,70.21931782991462,7.552492042191657,0.02633291973094076,67813000.0,5121.571428571428,61169.0,38487530.00000009,38426361.00000009,29325469.99999991,0.07142857142857142,2183.1428571428587,26452.297854836015,True,0.24770464852675325,0.2250275114528874,0.2250275114528874,3.467865079374546,1.4996648629207607,3.150385160340424,1.3623718978368162
2023-03-19,France,67813000,46305.0,38533835.0,163.0,165701.0,54668500.0,53179459.0,47617906.0,121.0,,,754.0,13211.0,6615.0,23.285714285714285,0.7777777777777778,68.28336749590787,0.24036689130402725,56823.669502897676,244.34990341085043,0.17843186409685458,1.1118812027192426,19.48151534366567,56.82366950289768,0.24434990341085042,80.61654844941235,78.4207438101839,70.21943580139501,9.754766785129695,0.03433812732914675,67813000.0,6615.0,64167.142857142855,38494145.00000009,38429977.85714295,29318854.999999903,0.07142857142857142,2998.142857142855,27742.57380137807,True,0.27328070778007735,0.23197106277091603,0.23197106277091603,3.825929908921083,1.654135405303114,3.2475948787928246,1.4040930699138674
2023-03-20,France,67813000,0.0,38533835.0,0.0,165701.0,54668652.0,53179724.0,47619475.0,1986.0,,,760.0,13358.0,6615.0,23.285714285714285,0.7777777777777778,0.0,0.0,56823.669502897676,244.34990341085043,2.9286420007963074,1.1207290637488387,19.698287938890772,56.82366950289768,0.24434990341085042,80.6167725952251,78.4211345907127,70.22174951705425,9.754766785129695,0.03433812732914675,67813000.0,6615.0,67165.28571428571,38500760.00000009,38433594.714285806,29312239.99999991,0.07142857142857142,2998.142857142855,29032.264824232938,True,0.26851722772930753,0.2384432393214561,0.2384432393214561,3.7592411882103054,1.6249359256588751,3.338205350500386,1.4429427455377455
